Date,Host,Service,Content
"2026-03-31T19:05:28.187Z","i-0d80a82297acd2637","protocols/base-proofs","orphan deregistration complete"
"2026-03-31T19:05:28.187Z","i-0d80a82297acd2637","protocols/base-proofs","signer appears in getRegisteredSigners but isRegisteredSigner is false, skipping (possible EnumerableSet ghost entry)"
"2026-03-31T19:05:28.182Z","i-0d80a82297acd2637","protocols/base-proofs","deregistering orphan signers"
"2026-03-31T19:05:28.168Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T19:05:28.167Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T19:05:28.165Z","i-0d80a82297acd2637","protocols/base-proofs","discovered prover instances"
"2026-03-31T19:04:57.971Z","i-0d80a82297acd2637","protocols/base-proofs","orphan deregistration complete"
"2026-03-31T19:04:57.971Z","i-0d80a82297acd2637","protocols/base-proofs","signer appears in getRegisteredSigners but isRegisteredSigner is false, skipping (possible EnumerableSet ghost entry)"
"2026-03-31T19:04:57.965Z","i-0d80a82297acd2637","protocols/base-proofs","deregistering orphan signers"
"2026-03-31T19:04:57.948Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T19:04:57.946Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T19:04:57.943Z","i-0d80a82297acd2637","protocols/base-proofs","discovered prover instances"
"2026-03-31T19:04:27.744Z","i-0d80a82297acd2637","protocols/base-proofs","signer appears in getRegisteredSigners but isRegisteredSigner is false, skipping (possible EnumerableSet ghost entry)"
"2026-03-31T19:04:27.744Z","i-0d80a82297acd2637","protocols/base-proofs","orphan deregistration complete"
"2026-03-31T19:04:27.738Z","i-0d80a82297acd2637","protocols/base-proofs","deregistering orphan signers"
"2026-03-31T19:04:27.722Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T19:04:27.722Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T19:04:27.718Z","i-0d80a82297acd2637","protocols/base-proofs","discovered prover instances"
"2026-03-31T19:03:57.513Z","i-0d80a82297acd2637","protocols/base-proofs","signer appears in getRegisteredSigners but isRegisteredSigner is false, skipping (possible EnumerableSet ghost entry)"
"2026-03-31T19:03:57.513Z","i-0d80a82297acd2637","protocols/base-proofs","orphan deregistration complete"
"2026-03-31T19:03:57.509Z","i-0d80a82297acd2637","protocols/base-proofs","deregistering orphan signers"
"2026-03-31T19:03:57.492Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T19:03:57.491Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T19:03:57.488Z","i-0d80a82297acd2637","protocols/base-proofs","discovered prover instances"
"2026-03-31T19:03:27.280Z","i-0d80a82297acd2637","protocols/base-proofs","orphan deregistration complete"
"2026-03-31T19:03:27.279Z","i-0d80a82297acd2637","protocols/base-proofs","signer appears in getRegisteredSigners but isRegisteredSigner is false, skipping (possible EnumerableSet ghost entry)"
"2026-03-31T19:03:27.274Z","i-0d80a82297acd2637","protocols/base-proofs","deregistering orphan signers"
"2026-03-31T19:03:27.246Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T19:03:27.245Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T19:03:27.241Z","i-0d80a82297acd2637","protocols/base-proofs","discovered prover instances"
"2026-03-31T19:02:56.911Z","i-0d80a82297acd2637","protocols/base-proofs","orphan deregistration complete"
"2026-03-31T19:02:56.911Z","i-0d80a82297acd2637","protocols/base-proofs","signer appears in getRegisteredSigners but isRegisteredSigner is false, skipping (possible EnumerableSet ghost entry)"
"2026-03-31T19:02:56.906Z","i-0d80a82297acd2637","protocols/base-proofs","deregistering orphan signers"
"2026-03-31T19:02:56.885Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T19:02:56.885Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T19:02:56.880Z","i-0d80a82297acd2637","protocols/base-proofs","discovered prover instances"
"2026-03-31T19:02:26.679Z","i-0d80a82297acd2637","protocols/base-proofs","orphan deregistration complete"
